math,reading,writing,placement,club_join_date,placement_offer_count
91,47,53,162,2020,5
57,69,69,111,2021,4
43,73,65,195,2018,1
76,43,66,195,2020,5
81,48,66,114,2020,1
71,31,57,117,2018,2
52,63,50,129,2020,2
48,32,61,144,2021,2
87,21,65,191,2019,1
56,78,65,111,2018,3
57,24,66,114,2018,1
78,60,65,144,2018,3
76,72,62,171,2019,1
45,60,53,138,2021,5
48,57,51,148,2019,4
88,21,60,131,2019,4
60,35,69,121,2018,2
99,76,65,99,2018,4
72,54,60,128,2018,1
60,72,59,180,2021,1
58,21,54,92,2020,1
80,69,58,132,2020,4
50,34,55,120,2019,2
56,75,56,192,2020,1
97,22,66,190,2019,4
84,45,64,90,2020,1
51,41,52,189,2020,5
59,39,52,193,2020,5
57,64,64,100,2021,1
